user,tweet,who
AnKit DuBey,"Chris Cuomo, now with NewsNation, issued a public apology to former President Donald  Trump  following an apparent assassination attempt on  Trump . This apology was not only for the attempt on  Trump 's life but also seemed to address broader themes of media and public reaction",__label__trump
Jeff Maine,"Okay? His management skills of it were terrible.  Trump  was in the midst of ending the war, not by pulling everybody out in an instant retreat... you don't understand how global conflict works, it's okay.",__label__trump
Lou Harris,Here's Why You Should Get Tickets To 'Vindicating  Trump ' As Soon As You Can  https:// why-you-should-get-tickets-to-vindicating-trump-as-soon-as-you-can.html …  - Movie by Dinesh D'Souza - Vindicating  Trump  - The Department of Justice & CIA along with News Media want to Stop him at any cost even a Political Assassination !,__label__trump
MemeNarco,$NFT  creating a foundation as the next big  trump  coin.,__label__trump
Steven Green,Harris is creeping up and closing right in on Tru mp!!!   #Georgia,__label__trump
citosquilt8,President  Trump - Hire your own SECURITY,__label__trump
Rilla Roo,Daily reminder that Lava Girl grew up to be a crazy  Trump  lady and you should hate her because she sucks   Thanks,__label__trump
Michelle Summers,"Imagine the stupidity of ""wanting"" to destroy the smartest, most motivated, innovative, visionary and creative person on the planet   I guess we don't have to imagine it. It's right before our eyes, pure evil    Trump  2024 ~ Make America Glorious Again!",__label__trump
Eric Giese,"Climate Change was ""created"" .....the Border problem is quite real!",__label__trump
CyCeaux,"@ABC  A top Senate Democrat blasted the Biden-Harris administration for ""stonewalling"" in response to requests for information on the assassination attempts on former President  Trump  and the potential failures of the U.S. Secret Service.",__label__trump
Robert R,I think this guy is just saying what he thinks will keep him on tv. He hated  trump  on CNN. But now he’s making sense in favor of  trump !! Something smells!!,__label__trump
LONEPC,too bad criminals don't care about the laws they break lol,__label__trump
DJKF,There is no evidence yet that he was actually there to shoot  Trump . SS assumed it.,__label__trump
CuBa_SOS,Telemundo cómplice de la Extrema Izquierda que estimula el Odio y la violencia contra el expresidente  Trump,__label__trump
JusticeNeeded,@KamalaHarris  isn’t a billionaire. She worked her way up from middle class. Unlike  Trump  who was handed everything and doesn’t even know the meaning of “hard work”,__label__trump
Siah Yahu,Why she acting like a child She's a whole 30-year-old adult,__label__trump
SueC GOD'S GIRL TRUMP '24MAGA,"@NEWSMAX .  @DrRandPaul .  @drsimonegold .  @P_McCulloughMD . When this TERRIFYING PATIENT NEWS is spoken first hand from the HOSPITAL STAFF, It's very hard to ignore.",__label__trump
Rolo1995,"You're projecting  Trump  has nothing to gain, and everything to lose, including 2 separate assassination attempts Stop being arrogant and see  Trump  is the patriot running for office compared to the puppet installed by the feds",__label__trump
kmnj kmnj,You called  trump  Hitler,__label__trump
MHarn,How many times I got to tell you God has Donald  Trump 's back all the way to the White House to become our next 47th president of the USA!,__label__trump
Ima Libby Tarian,May be coming soon to the US.   Choose wisely in Nov. Trump  2024!,__label__trump
